date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:38:27	307056/307056	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2003:38:26%20GMT	https://basamicar.wixsite.com/transport	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/transport.html	(from )
06:38:27	201/201	---M--	200	added ('OK')	text/plain	date:Wed,%2011%20May%202022%2003:38:27%20GMT	https://basamicar.wixsite.com/robots.txt		(from )
06:38:30	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://basamicar.wixsite.com/transport)
06:38:30	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://basamicar.wixsite.com/transport)
06:38:33	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2006%20May%202022%2000:20:04%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	/storage/emulated/0/Alarms/bsame/polyfill.io/v3/polyfill.mind82c.js	(from https://basamicar.wixsite.com/transport)
06:38:34	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	/storage/emulated/0/Alarms/bsame/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://basamicar.wixsite.com/transport)
06:38:34	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:34%20GMT	https://basamicar.wixsite.com/decodeURIComponent(e	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/decodeURIComponent(e	(from https://basamicar.wixsite.com/transport)
06:38:35	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:35%20GMT	https://basamicar.wixsite.com/sitemap.xml	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/sitemap.xml	(from https://basamicar.wixsite.com/transport)
06:38:36	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:36%20GMT	https://basamicar.wixsite.com/feed.xml	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/feed.xml	(from https://basamicar.wixsite.com/transport)
06:38:37	166576/166576	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bdb7d368202925adfc3a8e93ee17b522%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.36d5e27f.bundle.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.36d5e27f.bundle.min.js	(from https://basamicar.wixsite.com/transport)
06:38:38	179174/179174	---M-Z	200	added ('OK')	application/javascript	etag:W/%226feef3f810d96ace66449b29c18dce51%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.1487cf42.bundle.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/services/wix-thunderbolt/dist/main.1487cf42.bundle.min.js	(from https://basamicar.wixsite.com/transport)
06:38:39	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://basamicar.wixsite.com/transport)
06:38:40	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://basamicar.wixsite.com/transport)
06:38:42	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://basamicar.wixsite.com/transport)
06:38:43	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:43%20GMT	https://basamicar.wixsite.com/version/	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/version/index.html	(from https://basamicar.wixsite.com/transport)
06:38:43	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:43%20GMT	https://basamicar.wixsite.com/	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/index.html	(from https://basamicar.wixsite.com/transport)
06:38:43	38502/38502	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e0bc75cd29020598154edc6c218d43ea%22	https://static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	(from https://basamicar.wixsite.com/transport)
06:38:44	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	/storage/emulated/0/Alarms/bsame/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://basamicar.wixsite.com/transport)
06:38:44	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:45%20GMT	https://basamicar.wixsite.com/da6c52cb.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/da6c52cb.min.css	(from https://basamicar.wixsite.com/transport)
06:38:45	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:45%20GMT	https://basamicar.wixsite.com/5b26625f.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/5b26625f.min.css	(from https://basamicar.wixsite.com/transport)
06:38:46	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:46%20GMT	https://basamicar.wixsite.com/fbce49db.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/fbce49db.min.css	(from https://basamicar.wixsite.com/transport)
06:38:47	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:47%20GMT	https://basamicar.wixsite.com/8c18f46b.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/8c18f46b.chunk.min.js	(from https://basamicar.wixsite.com/transport)
06:38:48	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:48%20GMT	https://basamicar.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.29c100d1.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.29c100d1.chunk.min.js	(from https://basamicar.wixsite.com/transport)
06:38:49	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:49%20GMT	https://basamicar.wixsite.com/rb_wixui.thunderbolt~bootstrap.5641211f.chunk.min.css	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/rb_wixui.thunderbolt_bootstrap.5641211f.chunk.min.css	(from https://basamicar.wixsite.com/transport)
06:38:50	2937/2937	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20May%202022%2003:38:50%20GMT	https://basamicar.wixsite.com/rb_wixui.thunderbolt~bootstrap.8c18f46b.chunk.min.js	/storage/emulated/0/Alarms/bsame/basamicar.wixsite.com/rb_wixui.thunderbolt_bootstrap.8c18f46b.chunk.min.js	(from https://basamicar.wixsite.com/transport)
06:38:53	4421/4421	---M--	200	added ('OK')	image/png	etag:%228b0a6ccdca7a073aa6885e2e7941d9f5%22	https://static.wixstatic.com/media/6972bc_3e0262a258f846dea17020b1684e3c74~mv2.png/v1/fill/w_165,h_17,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Screenshot_11.png	/storage/emulated/0/Alarms/bsame/static.wixstatic.com/media/6972bc_3e0262a258f846dea17020b1684e3c74_mv2.png/v1/fill/w_165,h_17,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/Screenshot_11.png	(from https://basamicar.wixsite.com/transport)
06:38:54	2736/2736	---M--	200	added ('OK')	image/png	etag:%226ea159135a4ec77f52483e41f20ae48e%22	https://static.wixstatic.com/media/6972bc_8a43937d76eb43569578ac4f6828f82d~mv2.png/v1/crop/x_84,y_0,w_63,h_45/fill/w_63,h_45,al_c,q_85,blur_3,enc_auto/Screenshot_12.png	/storage/emulated/0/Alarms/bsame/static.wixstatic.com/media/6972bc_8a43937d76eb43569578ac4f6828f82d_mv2.png/v1/crop/x_84,y_0,w_63,h_45/fill/w_63,h_45,al_c,q_85,blur_3,enc_auto/Screenshot_12.png	(from https://basamicar.wixsite.com/transport)
